2025-12-23 15:54:37,674 - bulk_onboarding - INFO - Reading clients from /Users/hynes/dev/website-agents/bulk_client_onboarding.csv
2025-12-23 15:54:37,675 - bulk_onboarding - INFO - Found 34 clients to process.
2025-12-23 15:54:37,675 - bulk_onboarding - INFO - [1/34] Processing on-the-marc-media...
2025-12-23 15:54:37,675 - bulk_onboarding - INFO - Starting onboarding for client: on-the-marc-media
2025-12-23 15:54:37,675 - bulk_onboarding - INFO -   - Website: onthemarcmedia.com
2025-12-23 15:54:37,675 - bulk_onboarding - INFO -   - Drive ID: 1M81_h7a4tm5He4bxrZaPGXyoqvm60NG9
2025-12-23 15:54:37,676 - firestarter - INFO - create.request {'url': 'https://onthemarcmedia.com', 'limit': 300, 'max_depth': 3, 'include': None, 'exclude': None, 'clientSlug': 'on-the-marc-media', 'driveFolder': True}
2025-12-23 15:54:37,676 - firestarter - INFO - create.crawl.phase {'phase': 'main', 'url': 'https://onthemarcmedia.com', 'limit': 300, 'max_depth': 3, 'include_paths': None, 'exclude_paths': ['.*blog.*']}
2025-12-23 15:54:37,676 - firestarter - INFO - firecrawl.crawl.start {'url': 'https://onthemarcmedia.com', 'limit': 300, 'max_depth': 3, 'include_paths': False, 'exclude_paths': True}
2025-12-23 15:54:38,313 - httpx - INFO - HTTP Request: POST https://api.firecrawl.dev/v2/crawl "HTTP/1.1 200 OK"
2025-12-23 15:54:39,528 - httpx - INFO - HTTP Request: GET https://api.firecrawl.dev/v2/crawl/019b4cfe-12bc-757d-a5d5-f310c6ffdf18 "HTTP/1.1 200 OK"
2025-12-23 15:54:39,619 - firestarter - INFO - firecrawl.poll {'status': 'scraping', 'elapsed_ms': 1000}
2025-12-23 15:54:41,599 - httpx - INFO - HTTP Request: GET https://api.firecrawl.dev/v2/crawl/019b4cfe-12bc-757d-a5d5-f310c6ffdf18 "HTTP/1.1 200 OK"
2025-12-23 15:54:42,501 - firestarter - INFO - firecrawl.poll {'status': 'scraping', 'elapsed_ms': 2000}
2025-12-23 15:54:44,290 - httpx - INFO - HTTP Request: GET https://api.firecrawl.dev/v2/crawl/019b4cfe-12bc-757d-a5d5-f310c6ffdf18 "HTTP/1.1 200 OK"
2025-12-23 15:54:44,918 - firestarter - INFO - firecrawl.poll {'status': 'completed', 'elapsed_ms': 3000}
2025-12-23 15:54:44,918 - firestarter - INFO - create.crawl.phase {'phase': 'blog', 'url': 'https://onthemarcmedia.com', 'limit': 50, 'max_depth': 3, 'include_paths': ['blog'], 'exclude_paths': None}
2025-12-23 15:54:44,918 - firestarter - INFO - firecrawl.crawl.start {'url': 'https://onthemarcmedia.com', 'limit': 50, 'max_depth': 3, 'include_paths': True, 'exclude_paths': False}
2025-12-23 15:54:45,296 - httpx - INFO - HTTP Request: POST https://api.firecrawl.dev/v2/crawl "HTTP/1.1 200 OK"
2025-12-23 15:54:46,479 - httpx - INFO - HTTP Request: GET https://api.firecrawl.dev/v2/crawl/019b4cfe-2e56-770b-9d91-49d7ac33f73b "HTTP/1.1 200 OK"
2025-12-23 15:54:46,480 - firestarter - INFO - firecrawl.poll {'status': 'scraping', 'elapsed_ms': 1000}
2025-12-23 15:54:48,045 - httpx - INFO - HTTP Request: GET https://api.firecrawl.dev/v2/crawl/019b4cfe-2e56-770b-9d91-49d7ac33f73b "HTTP/1.1 200 OK"
2025-12-23 15:54:48,613 - firestarter - INFO - firecrawl.poll {'status': 'scraping', 'elapsed_ms': 2000}
2025-12-23 15:54:50,134 - httpx - INFO - HTTP Request: GET https://api.firecrawl.dev/v2/crawl/019b4cfe-2e56-770b-9d91-49d7ac33f73b "HTTP/1.1 200 OK"
2025-12-23 15:54:50,636 - firestarter - INFO - firecrawl.poll {'status': 'scraping', 'elapsed_ms': 3000}
2025-12-23 15:54:52,256 - httpx - INFO - HTTP Request: GET https://api.firecrawl.dev/v2/crawl/019b4cfe-2e56-770b-9d91-49d7ac33f73b "HTTP/1.1 200 OK"
2025-12-23 15:54:52,866 - firestarter - INFO - firecrawl.poll {'status': 'scraping', 'elapsed_ms': 4000}
2025-12-23 15:54:54,442 - httpx - INFO - HTTP Request: GET https://api.firecrawl.dev/v2/crawl/019b4cfe-2e56-770b-9d91-49d7ac33f73b "HTTP/1.1 200 OK"
2025-12-23 15:54:54,812 - firestarter - INFO - firecrawl.poll {'status': 'scraping', 'elapsed_ms': 5000}
2025-12-23 15:54:56,368 - httpx - INFO - HTTP Request: GET https://api.firecrawl.dev/v2/crawl/019b4cfe-2e56-770b-9d91-49d7ac33f73b "HTTP/1.1 200 OK"
2025-12-23 15:54:56,748 - firestarter - INFO - firecrawl.poll {'status': 'scraping', 'elapsed_ms': 6000}
2025-12-23 15:54:58,386 - httpx - INFO - HTTP Request: GET https://api.firecrawl.dev/v2/crawl/019b4cfe-2e56-770b-9d91-49d7ac33f73b "HTTP/1.1 200 OK"
2025-12-23 15:54:58,787 - firestarter - INFO - firecrawl.poll {'status': 'completed', 'elapsed_ms': 7000}
2025-12-23 15:54:58,787 - firestarter - INFO - create.categorize.start {'count': 122}
2025-12-23 15:54:59,532 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 15:54:59,619 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 15:54:59,620 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 15:54:59,633 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 15:54:59,640 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 15:54:59,641 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 15:54:59,647 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 15:54:59,648 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 15:54:59,654 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 15:54:59,656 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
